Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees,Asylum-seekers,IDPs,"Other people in need of international protection","Stateless persons","Host community","Others of concern"
2010,Argentina,Ukraine,ARG,UKR,19,0,0,0,0,0,0
2010,Australia,Ukraine,AUS,UKR,42,10,0,0,0,0,0
2010,Austria,Ukraine,AUT,UKR,282,238,0,0,0,0,0
2010,Belgium,Ukraine,BEL,UKR,86,0,0,0,0,0,0
2010,Bulgaria,Ukraine,BGR,UKR,0,8,0,0,0,0,0
2010,Canada,Ukraine,CAN,UKR,1871,341,0,0,0,0,0
2010,"Costa Rica",Ukraine,CRI,UKR,18,0,0,0,0,0,0
2010,Cyprus,Ukraine,CYP,UKR,28,71,0,0,0,0,0
2010,Czechia,Ukraine,CZE,UKR,94,131,0,0,0,0,0
2010,Denmark,Ukraine,DNK,UKR,19,6,0,0,0,0,0
2010,Finland,Ukraine,FIN,UKR,15,5,0,0,0,0,0
2010,France,Ukraine,FRA,UKR,712,0,0,0,0,0,0
2010,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,284,0,0,0,0,0,0
2010,Germany,Ukraine,DEU,UKR,19398,94,0,0,0,0,0
2010,Greece,Ukraine,GRC,UKR,5,78,0,0,0,0,0
2010,Hungary,Ukraine,HUN,UKR,44,7,0,0,0,0,0
2010,Ireland,Ukraine,IRL,UKR,187,30,0,0,0,0,0
2010,Italy,Ukraine,ITA,UKR,71,6,0,0,0,0,0
2010,"Rep. of Moldova",Ukraine,MDA,UKR,0,11,0,0,0,0,0
2010,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,124,15,0,0,0,0,0
2010,Norway,Ukraine,NOR,UKR,70,0,0,0,0,0,0
2010,Poland,Ukraine,POL,UKR,20,16,0,0,0,0,0
2010,Romania,Ukraine,ROU,UKR,0,5,0,0,0,0,0
2010,"Russian Federation",Ukraine,RUS,UKR,15,6,0,0,0,0,0
2010,Spain,Ukraine,ESP,UKR,25,0,0,0,0,0,0
2010,Slovakia,Ukraine,SVK,UKR,17,0,0,0,0,0,0
2010,Sweden,Ukraine,SWE,UKR,140,111,0,0,0,0,0
2010,Switzerland,Ukraine,CHE,UKR,29,12,0,0,0,0,0
2010,Uruguay,Ukraine,URY,UKR,12,0,0,0,0,0,0
2010,"United States of America",Ukraine,USA,UKR,1475,49,0,0,0,0,0
2011,Argentina,Ukraine,ARG,UKR,18,7,0,0,0,0,0
2011,Australia,Ukraine,AUS,UKR,40,6,0,0,0,0,0
2011,Austria,Ukraine,AUT,UKR,308,141,0,0,0,0,0
2011,Belgium,Ukraine,BEL,UKR,84,54,0,0,0,0,0
2011,Canada,Ukraine,CAN,UKR,1788,283,0,0,0,0,0
2011,"Costa Rica",Ukraine,CRI,UKR,18,0,0,0,0,0,0
2011,Cyprus,Ukraine,CYP,UKR,28,60,0,0,0,0,0
2011,Czechia,Ukraine,CZE,UKR,94,0,0,0,0,0,0
2011,Denmark,Ukraine,DNK,UKR,10,0,0,0,0,0,0
2011,Finland,Ukraine,FIN,UKR,11,0,0,0,0,0,0
2011,France,Ukraine,FRA,UKR,716,0,0,0,0,0,0
2011,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,252,39,0,0,0,0,0
2011,Germany,Ukraine,DEU,UKR,19922,70,0,0,0,0,0
2011,Greece,Ukraine,GRC,UKR,5,0,0,0,0,0,0
2011,Croatia,Ukraine,HRV,UKR,0,5,0,0,0,0,0
2011,Hungary,Ukraine,HUN,UKR,44,0,0,0,0,0,0
2011,Ireland,Ukraine,IRL,UKR,175,43,0,0,0,0,0
2011,Italy,Ukraine,ITA,UKR,60,0,0,0,0,0,0
2011,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,103,28,0,0,0,0,0
2011,Norway,Ukraine,NOR,UKR,12,5,0,0,0,0,0
2011,Poland,Ukraine,POL,UKR,25,52,0,0,0,0,0
2011,Portugal,Ukraine,PRT,UKR,0,5,0,0,0,0,0
2011,Romania,Ukraine,ROU,UKR,0,6,0,0,0,0,0
2011,"Russian Federation",Ukraine,RUS,UKR,5,8,0,0,0,0,0
2011,Spain,Ukraine,ESP,UKR,18,0,0,0,0,0,0
2011,Slovakia,Ukraine,SVK,UKR,17,0,0,0,0,0,0
2011,Sweden,Ukraine,SWE,UKR,118,140,0,0,0,0,0
2011,Switzerland,Ukraine,CHE,UKR,26,13,0,0,0,0,0
2011,Uruguay,Ukraine,URY,UKR,12,0,0,0,0,0,0
2011,"United States of America",Ukraine,USA,UKR,1463,74,0,0,0,0,0
2012,Argentina,Ukraine,ARG,UKR,18,13,0,0,0,0,0
2012,Australia,Ukraine,AUS,UKR,26,16,0,0,0,0,0
2012,Austria,Ukraine,AUT,UKR,309,131,0,0,0,0,0
2012,Belgium,Ukraine,BEL,UKR,85,32,0,0,0,0,0
2012,Belarus,Ukraine,BLR,UKR,0,5,0,0,0,0,0
2012,Canada,Ukraine,CAN,UKR,1737,310,0,0,0,0,0
2012,"Costa Rica",Ukraine,CRI,UKR,18,0,0,0,0,0,0
2012,Cyprus,Ukraine,CYP,UKR,28,11,0,0,0,0,0
2012,Czechia,Ukraine,CZE,UKR,105,43,0,0,0,0,0
2012,Denmark,Ukraine,DNK,UKR,9,5,0,0,0,0,0
2012,Finland,Ukraine,FIN,UKR,8,15,0,0,0,0,0
2012,France,Ukraine,FRA,UKR,719,0,0,0,0,0,0
2012,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,192,52,0,0,0,0,0
2012,Germany,Ukraine,DEU,UKR,20059,158,0,0,0,0,0
2012,Greece,Ukraine,GRC,UKR,5,0,0,0,0,0,0
2012,Croatia,Ukraine,HRV,UKR,5,0,0,0,0,0,0
2012,Hungary,Ukraine,HUN,UKR,41,0,0,0,0,0,0
2012,Ireland,Ukraine,IRL,UKR,134,40,0,0,0,0,0
2012,Italy,Ukraine,ITA,UKR,60,13,0,0,0,0,0
2012,Liechtenstein,Ukraine,LIE,UKR,0,5,0,0,0,0,0
2012,Lithuania,Ukraine,LTU,UKR,5,0,0,0,0,0,0
2012,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,74,28,0,0,0,0,0
2012,Norway,Ukraine,NOR,UKR,5,25,0,0,0,0,0
2012,Poland,Ukraine,POL,UKR,25,38,0,0,0,0,0
2012,Portugal,Ukraine,PRT,UKR,0,5,0,0,0,0,0
2012,"Russian Federation",Ukraine,RUS,UKR,5,6,0,0,0,0,0
2012,Spain,Ukraine,ESP,UKR,10,15,0,0,0,0,0
2012,Slovakia,Ukraine,SVK,UKR,17,0,0,0,0,0,0
2012,Sweden,Ukraine,SWE,UKR,111,87,0,0,0,0,0
2012,Switzerland,Ukraine,CHE,UKR,16,24,0,0,0,0,0
2012,Uruguay,Ukraine,URY,UKR,11,0,0,0,0,0,0
2012,"United States of America",Ukraine,USA,UKR,1411,132,0,0,0,0,0
2013,Argentina,Ukraine,ARG,UKR,24,7,0,0,0,0,0
2013,Australia,Ukraine,AUS,UKR,20,14,0,0,0,0,0
2013,Austria,Ukraine,AUT,UKR,311,125,0,0,0,0,0
2013,Belgium,Ukraine,BEL,UKR,33,22,0,0,0,0,0
2013,Canada,Ukraine,CAN,UKR,1605,243,0,0,0,0,0
2013,"Costa Rica",Ukraine,CRI,UKR,18,0,0,0,0,0,0
2013,Cyprus,Ukraine,CYP,UKR,28,5,0,0,0,0,0
2013,Czechia,Ukraine,CZE,UKR,110,26,0,0,0,0,0
2013,Denmark,Ukraine,DNK,UKR,16,15,0,0,0,0,0
2013,Finland,Ukraine,FIN,UKR,5,6,0,0,0,0,0
2013,France,Ukraine,FRA,UKR,732,57,0,0,0,0,0
2013,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,124,68,0,0,0,0,0
2013,Germany,Ukraine,DEU,UKR,261,259,0,0,0,0,0
2013,Greece,Ukraine,GRC,UKR,6,110,0,0,0,0,0
2013,Croatia,Ukraine,HRV,UKR,5,0,0,0,0,0,0
2013,Hungary,Ukraine,HUN,UKR,9,5,0,0,0,0,0
2013,Ireland,Ukraine,IRL,UKR,104,40,0,0,0,0,0
2013,Italy,Ukraine,ITA,UKR,77,5,0,0,0,0,0
2013,Lebanon,Ukraine,LBN,UKR,0,0,0,0,0,0,6
2013,Lithuania,Ukraine,LTU,UKR,6,0,0,0,0,0,0
2013,Luxembourg,Ukraine,LUX,UKR,5,5,0,0,0,0,0
2013,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,63,0,0,0,0,0,0
2013,Norway,Ukraine,NOR,UKR,9,8,0,0,0,0,0
2013,Poland,Ukraine,POL,UKR,39,25,0,0,0,0,0
2013,Portugal,Ukraine,PRT,UKR,0,5,0,0,0,0,0
2013,"Russian Federation",Ukraine,RUS,UKR,5,10,0,0,0,0,0
2013,Spain,Ukraine,ESP,UKR,6,9,0,0,0,0,0
2013,Slovakia,Ukraine,SVK,UKR,17,0,0,0,0,0,0
2013,Sweden,Ukraine,SWE,UKR,107,92,0,0,0,0,0
2013,Switzerland,Ukraine,CHE,UKR,19,23,0,0,0,0,0
2013,Uruguay,Ukraine,URY,UKR,11,0,0,0,0,0,0
2013,"United States of America",Ukraine,USA,UKR,1379,447,0,0,0,0,0
2014,Argentina,Ukraine,ARG,UKR,24,89,0,0,0,0,0
2014,Armenia,Ukraine,ARM,UKR,43,27,0,0,0,0,0
2014,Australia,Ukraine,AUS,UKR,22,59,0,0,0,0,0
2014,Austria,Ukraine,AUT,UKR,300,0,0,0,0,0,0
2014,Azerbaijan,Ukraine,AZE,UKR,0,12,0,0,0,0,0
2014,Belgium,Ukraine,BEL,UKR,33,269,0,0,0,0,0
2014,Belarus,Ukraine,BLR,UKR,284,167,0,0,0,0,0
2014,Brazil,Ukraine,BRA,UKR,0,18,0,0,0,0,0
2014,Bulgaria,Ukraine,BGR,UKR,0,36,0,0,0,0,0
2014,Canada,Ukraine,CAN,UKR,1468,158,0,0,0,0,0
2014,Chile,Ukraine,CHL,UKR,0,6,0,0,0,0,0
2014,"Costa Rica",Ukraine,CRI,UKR,21,5,0,0,0,0,0
2014,Cyprus,Ukraine,CYP,UKR,29,89,0,0,0,0,0
2014,Czechia,Ukraine,CZE,UKR,292,174,0,0,0,0,0
2014,Denmark,Ukraine,DNK,UKR,12,47,0,0,0,0,0
2014,Estonia,Ukraine,EST,UKR,0,44,0,0,0,0,0
2014,Fiji,Ukraine,FJI,UKR,0,6,0,0,0,0,0
2014,Finland,Ukraine,FIN,UKR,9,54,0,0,0,0,0
2014,France,Ukraine,FRA,UKR,737,1239,0,0,0,0,0
2014,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,85,187,0,0,0,0,0
2014,Georgia,Ukraine,GEO,UKR,0,354,0,0,0,0,0
2014,Germany,Ukraine,DEU,UKR,299,2772,0,0,0,0,0
2014,Greece,Ukraine,GRC,UKR,10,48,0,0,0,0,0
2014,Croatia,Ukraine,HRV,UKR,5,5,0,0,0,0,0
2014,Hungary,Ukraine,HUN,UKR,10,7,0,0,0,0,0
2014,Iceland,Ukraine,ISL,UKR,6,10,0,0,0,0,0
2014,India,Ukraine,IND,UKR,0,5,0,0,0,0,0
2014,Ireland,Ukraine,IRL,UKR,97,57,0,0,0,0,0
2014,Italy,Ukraine,ITA,UKR,236,1556,0,0,0,0,0
2014,Jordan,Ukraine,JOR,UKR,0,5,0,0,0,0,0
2014,Kazakhstan,Ukraine,KAZ,UKR,0,21,0,0,0,0,0
2014,Kyrgyzstan,Ukraine,KGZ,UKR,0,18,0,0,0,0,0
2014,"Rep. of Korea",Ukraine,KOR,UKR,0,7,0,0,0,0,0
2014,Lebanon,Ukraine,LBN,UKR,0,5,0,0,0,0,5
2014,Lithuania,Ukraine,LTU,UKR,34,21,0,0,0,0,0
2014,Luxembourg,Ukraine,LUX,UKR,5,22,0,0,0,0,0
2014,Latvia,Ukraine,LVA,UKR,0,52,0,0,0,0,0
2014,"Rep. of Moldova",Ukraine,MDA,UKR,17,83,0,0,0,0,0
2014,Mexico,Ukraine,MEX,UKR,0,10,0,0,0,0,0
2014,Malta,Ukraine,MLT,UKR,27,5,0,0,0,0,0
2014,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,52,105,0,0,0,0,0
2014,Norway,Ukraine,NOR,UKR,8,39,0,0,0,0,0
2014,Peru,Ukraine,PER,UKR,5,0,0,0,0,0,0
2014,Poland,Ukraine,POL,UKR,35,1077,0,0,0,0,0
2014,Portugal,Ukraine,PRT,UKR,16,137,0,0,0,0,0
2014,Romania,Ukraine,ROU,UKR,13,10,0,0,0,0,0
2014,"South Africa",Ukraine,ZAF,UKR,8,5,0,0,0,0,0
2014,"Russian Federation",Ukraine,RUS,UKR,231787,2229,0,0,0,0,0
2014,Spain,Ukraine,ESP,UKR,5,689,0,0,0,0,0
2014,"Serbia and Kosovo: S/RES/1244 (1999)",Ukraine,SRB,UKR,0,5,0,0,0,0,0
2014,Slovakia,Ukraine,SVK,UKR,17,0,0,0,0,0,0
2014,Slovenia,Ukraine,SVN,UKR,0,8,0,0,0,0,0
2014,Sweden,Ukraine,SWE,UKR,114,1094,0,0,0,0,0
2014,Switzerland,Ukraine,CHE,UKR,17,132,0,0,0,0,0
2014,Ukraine,Ukraine,UKR,UKR,0,0,823000,0,0,0,0
2014,Uruguay,Ukraine,URY,UKR,11,0,0,0,0,0,0
2014,"United States of America",Ukraine,USA,UKR,1424,1806,0,0,0,0,0
2015,Argentina,Ukraine,ARG,UKR,44,146,0,0,0,0,0
2015,Armenia,Ukraine,ARM,UKR,109,0,0,0,0,0,0
2015,Australia,Ukraine,AUS,UKR,21,68,0,0,0,0,0
2015,Austria,Ukraine,AUT,UKR,287,756,0,0,0,0,0
2015,Azerbaijan,Ukraine,AZE,UKR,15,0,0,0,0,0,0
2015,Belgium,Ukraine,BEL,UKR,122,234,0,0,0,0,0
2015,Belarus,Ukraine,BLR,UKR,1089,209,0,0,0,0,0
2015,Brazil,Ukraine,BRA,UKR,5,45,0,0,0,0,0
2015,Bulgaria,Ukraine,BGR,UKR,0,75,0,0,0,0,0
2015,Canada,Ukraine,CAN,UKR,1314,236,0,0,0,0,0
2015,Chile,Ukraine,CHL,UKR,0,8,0,0,0,0,0
2015,"Costa Rica",Ukraine,CRI,UKR,12,5,0,0,0,0,0
2015,Cyprus,Ukraine,CYP,UKR,29,125,0,0,0,0,0
2015,Czechia,Ukraine,CZE,UKR,444,241,0,0,0,0,0
2015,Denmark,Ukraine,DNK,UKR,15,49,0,0,0,0,0
2015,"Dominican Rep.",Ukraine,DOM,UKR,0,5,0,0,0,0,0
2015,Estonia,Ukraine,EST,UKR,59,33,0,0,0,0,0
2015,Fiji,Ukraine,FJI,UKR,0,6,0,0,0,0,0
2015,Finland,Ukraine,FIN,UKR,10,44,0,0,0,0,0
2015,France,Ukraine,FRA,UKR,1038,1533,0,0,0,0,0
2015,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,85,139,0,0,0,0,0
2015,Georgia,Ukraine,GEO,UKR,668,38,0,0,0,0,0
2015,Germany,Ukraine,DEU,UKR,320,6628,0,0,0,0,0
2015,Greece,Ukraine,GRC,UKR,85,124,0,0,0,0,0
2015,Croatia,Ukraine,HRV,UKR,5,5,0,0,0,0,0
2015,Hungary,Ukraine,HUN,UKR,17,11,0,0,0,0,0
2015,Iceland,Ukraine,ISL,UKR,12,0,0,0,0,0,0
2015,India,Ukraine,IND,UKR,0,13,0,0,0,0,0
2015,Ireland,Ukraine,IRL,UKR,103,91,0,0,0,0,0
2015,Italy,Ukraine,ITA,UKR,1870,3106,0,0,0,0,0
2015,Jordan,Ukraine,JOR,UKR,0,25,0,0,0,0,0
2015,Japan,Ukraine,JPN,UKR,0,22,0,0,0,0,0
2015,Kazakhstan,Ukraine,KAZ,UKR,0,18,0,0,0,0,0
2015,Kyrgyzstan,Ukraine,KGZ,UKR,10,10,0,0,0,0,0
2015,"Rep. of Korea",Ukraine,KOR,UKR,5,17,0,0,0,0,0
2015,Kuwait,Ukraine,KWT,UKR,0,5,0,0,0,0,0
2015,Lebanon,Ukraine,LBN,UKR,0,0,0,0,0,0,5
2015,Liechtenstein,Ukraine,LIE,UKR,0,10,0,0,0,0,0
2015,Lithuania,Ukraine,LTU,UKR,60,13,0,0,0,0,0
2015,Luxembourg,Ukraine,LUX,UKR,6,26,0,0,0,0,0
2015,Latvia,Ukraine,LVA,UKR,0,5,0,0,0,0,0
2015,Mauritania,Ukraine,MRT,UKR,5,0,0,0,0,0,0
2015,"Rep. of Moldova",Ukraine,MDA,UKR,102,51,0,0,0,0,0
2015,Mexico,Ukraine,MEX,UKR,5,0,0,0,0,0,0
2015,Montenegro,Ukraine,MNE,UKR,0,7,0,0,0,0,0
2015,Malta,Ukraine,MLT,UKR,78,23,0,0,0,0,0
2015,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,39,315,0,0,0,0,0
2015,Norway,Ukraine,NOR,UKR,0,35,0,0,0,0,0
2015,Peru,Ukraine,PER,UKR,11,0,0,0,0,0,0
2015,Poland,Ukraine,POL,UKR,41,719,0,0,0,0,0
2015,Portugal,Ukraine,PRT,UKR,134,219,0,0,0,0,0
2015,Romania,Ukraine,ROU,UKR,37,9,0,0,0,0,0
2015,"South Africa",Ukraine,ZAF,UKR,8,13,0,0,0,0,0
2015,"Russian Federation",Ukraine,RUS,UKR,311407,1097,0,0,0,0,0
2015,"Serbia and Kosovo: S/RES/1244 (1999)",Ukraine,SRB,UKR,9,0,0,0,0,0,0
2015,Slovakia,Ukraine,SVK,UKR,18,0,0,0,0,0,0
2015,Sweden,Ukraine,SWE,UKR,133,1697,0,0,0,0,0
2015,Switzerland,Ukraine,CHE,UKR,16,182,0,0,0,0,0
2015,Ukraine,Ukraine,UKR,UKR,0,0,1600000,0,0,0,0
2015,Uruguay,Ukraine,URY,UKR,11,0,0,0,0,0,0
2015,"United States of America",Ukraine,USA,UKR,1486,3859,0,0,0,0,0
2016,Argentina,Ukraine,ARG,UKR,83,184,0,0,0,0,0
2016,Armenia,Ukraine,ARM,UKR,113,5,0,0,0,0,0
2016,Australia,Ukraine,AUS,UKR,20,68,0,0,0,0,0
2016,Austria,Ukraine,AUT,UKR,301,846,0,0,0,0,0
2016,Azerbaijan,Ukraine,AZE,UKR,9,0,0,0,0,0,0
2016,Belgium,Ukraine,BEL,UKR,166,220,0,0,0,0,0
2016,Belarus,Ukraine,BLR,UKR,1184,178,0,0,0,0,0
2016,Brazil,Ukraine,BRA,UKR,7,48,0,0,0,0,0
2016,Bulgaria,Ukraine,BGR,UKR,0,78,0,0,0,0,0
2016,Canada,Ukraine,CAN,UKR,1077,338,0,0,0,0,0
2016,Chile,Ukraine,CHL,UKR,0,5,0,0,0,0,0
2016,"Costa Rica",Ukraine,CRI,UKR,14,0,0,0,0,0,0
2016,Cyprus,Ukraine,CYP,UKR,29,121,0,0,0,0,0
2016,Czechia,Ukraine,CZE,UKR,444,232,0,0,0,0,0
2016,Denmark,Ukraine,DNK,UKR,25,53,0,0,0,0,0
2016,"Dominican Rep.",Ukraine,DOM,UKR,5,0,0,0,0,0,0
2016,Estonia,Ukraine,EST,UKR,80,0,0,0,0,0,0
2016,Finland,Ukraine,FIN,UKR,10,24,0,0,0,0,0
2016,France,Ukraine,FRA,UKR,1382,636,0,0,0,0,0
2016,"United Kingdom of Great Britain and Northern Ireland",Ukraine,GBR,UKR,90,96,0,0,0,0,0
2016,Georgia,Ukraine,GEO,UKR,702,14,0,0,0,0,0
2016,Germany,Ukraine,DEU,UKR,355,6346,0,0,0,0,0
2016,Greece,Ukraine,GRC,UKR,112,144,0,0,0,0,0
2016,Croatia,Ukraine,HRV,UKR,5,0,0,0,0,0,0
2016,Hungary,Ukraine,HUN,UKR,19,5,0,0,0,0,0
2016,Iceland,Ukraine,ISL,UKR,15,0,0,0,0,0,0
2016,India,Ukraine,IND,UKR,0,8,0,0,0,0,0
2016,Ireland,Ukraine,IRL,UKR,108,69,0,0,0,0,0
2016,Israel,Ukraine,ISR,UKR,0,6797,0,0,0,0,0
2016,Italy,Ukraine,ITA,UKR,3720,2544,0,0,0,0,0
2016,Jordan,Ukraine,JOR,UKR,0,27,0,0,0,0,0
2016,Kazakhstan,Ukraine,KAZ,UKR,0,18,0,0,0,0,0
2016,Kyrgyzstan,Ukraine,KGZ,UKR,14,5,0,0,0,0,0
2016,"Rep. of Korea",Ukraine,KOR,UKR,8,11,0,0,0,0,0
2016,Kuwait,Ukraine,KWT,UKR,0,5,0,0,0,0,0
2016,Lebanon,Ukraine,LBN,UKR,0,5,0,0,0,0,5
2016,Liechtenstein,Ukraine,LIE,UKR,5,12,0,0,0,0,0
2016,Lithuania,Ukraine,LTU,UKR,61,5,0,0,0,0,0
2016,Luxembourg,Ukraine,LUX,UKR,6,40,0,0,0,0,0
2016,Mauritania,Ukraine,MRT,UKR,5,0,0,0,0,0,0
2016,"Rep. of Moldova",Ukraine,MDA,UKR,74,31,0,0,0,0,0
2016,Mexico,Ukraine,MEX,UKR,6,0,0,0,0,0,0
2016,Montenegro,Ukraine,MNE,UKR,0,5,0,0,0,0,0
2016,Malta,Ukraine,MLT,UKR,109,64,0,0,0,0,0
2016,"Netherlands (Kingdom of the)",Ukraine,NLD,UKR,32,64,0,0,0,0,0
2016,Norway,Ukraine,NOR,UKR,9,8,0,0,0,0,0
2016,Panama,Ukraine,PAN,UKR,0,6,0,0,0,0,0
2016,Peru,Ukraine,PER,UKR,14,0,0,0,0,0,0
2016,Poland,Ukraine,POL,UKR,114,520,0,0,0,0,0
2016,Portugal,Ukraine,PRT,UKR,328,99,0,0,0,0,0
2016,Romania,Ukraine,ROU,UKR,39,0,0,0,0,0,0
2016,"South Africa",Ukraine,ZAF,UKR,6,8,0,0,0,0,0
2016,"Russian Federation",Ukraine,RUS,UKR,226232,2183,0,0,0,0,0
2016,Spain,Ukraine,ESP,UKR,68,5555,0,0,0,0,0
2016,"Serbia and Kosovo: S/RES/1244 (1999)",Ukraine,SRB,UKR,14,0,0,0,0,0,0
2016,Slovakia,Ukraine,SVK,UKR,21,0,0,0,0,0,0
2016,Sweden,Ukraine,SWE,UKR,203,810,0,0,0,0,0
2016,Switzerland,Ukraine,CHE,UKR,35,113,0,0,0,0,0
2016,Ukraine,Ukraine,UKR,UKR,0,0,1800000,0,0,0,0
2016,Uruguay,Ukraine,URY,UKR,11,0,0,0,0,0,0
2016,"United States of America",Ukraine,USA,UKR,1573,5985,0,0,0,0,0
2017,Argentina,Ukraine,ARG,UKR,94,159,0,0,0,0,0
2017,Armenia,Ukraine,ARM,UKR,113,0,0,0,0,0,0
2017,Australia,Ukraine,AUS,UKR,18,82,0,0,0,0,0
2017,Austria,Ukraine,AUT,UKR,292,770,0,0,0,0,0
2017,Azerbaijan,Ukraine,AZE,UKR,6,0,0,0,0,0,0
